time,cluster,Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Inlet_Draft,Cyclone_Material_Temp
2017-01-23 13:10:00,1,820.33,767.96,-215.26,-198.56,-169.46,795.11
2017-01-23 13:15:00,1,795.46,756.95,-215.26,-198.56,-169.46,830.21
2017-02-08 04:35:00,1,822.69,798.24,-186.92,-189.45,-146.7,838.98
2017-03-10 18:05:00,1,909.49,898.67,-182.51,-190.56,-154.07,762.13
2017-03-10 18:55:00,1,899.73,898.89,-183.53,-182.76,-160.65,773.33
2017-03-10 19:05:00,1,908.22,900.84,-184.71,-180.54,-158.75,786.71
2017-03-21 03:20:00,1,795.78,786.18,-215.26,-198.56,-169.46,979.36
2017-03-21 03:25:00,1,789.68,782.69,-215.26,-198.56,-169.46,985.96
2017-04-16 01:10:00,1,922.82,917.07,-186.05,-193.48,-151.85,823.66
2017-04-16 01:25:00,1,895.2,911.13,-176.25,-185.23,-147.96,779.5
2017-05-31 21:40:00,1,809.38,775.99,-215.26,-198.56,-169.46,820.37
2017-06-01 01:55:00,1,834.1,833.18,-166.0,-190.27,-135.21,849.24
2017-06-01 08:25:00,1,789.78,788.68,-215.26,-198.56,-169.46,791.81
2017-06-16 19:20:00,1,817.19,868.18,-188.54,-231.89,-161.89,760.12
2017-06-22 06:00:00,1,795.89,808.25,-172.01,-206.27,-152.83,813.04
2017-06-30 17:05:00,1,840.61,863.4,-172.88,-178.44,-135.44,848.52
2017-06-30 18:40:00,1,809.62,840.72,-166.69,-181.53,-143.81,841.52
2017-07-20 09:30:00,1,793.01,770.62,-215.26,-198.56,-169.46,830.17
2017-07-20 09:35:00,1,790.06,766.74,-215.26,-198.56,-169.46,825.49
2017-07-20 14:55:00,1,921.63,870.9,-176.86,-190.07,-143.32,802.33
2017-07-20 15:00:00,1,966.09,904.53,-177.62,-194.26,-142.14,803.09
2017-07-20 23:35:00,1,924.47,907.12,-184.59,-208.42,-149.07,800.0
2017-08-02 02:25:00,1,915.94,890.55,-225.5,-244.18,-179.75,797.1
2017-12-13 04:15:00,1,834.16,835.06,-195.62,-173.56,-163.55,819.37
2017-12-14 16:40:00,1,791.46,828.18,-206.92,-220.33,-179.99,811.08
2017-12-15 03:30:00,1,853.67,816.82,-172.68,-177.03,-135.87,846.77
2017-12-15 03:35:00,1,853.44,814.27,-172.79,-177.97,-138.77,846.3
2017-12-25 02:05:00,1,845.17,855.1,-257.78,-253.97,-207.23,839.75
2017-12-25 14:20:00,1,810.09,843.39,-247.22,-254.96,-210.75,818.51
2017-12-30 16:25:00,1,817.73,888.87,-255.19,-254.8,-206.07,852.02
2018-01-09 00:35:00,1,856.77,819.62,-259.7,-253.47,-210.49,857.54
2018-01-09 03:45:00,1,856.76,821.39,-265.79,-257.13,-214.55,852.91
2018-01-09 03:55:00,1,861.96,819.85,-262.91,-253.32,-211.54,857.83
2018-01-16 04:40:00,1,861.29,820.58,-175.04,-172.63,-141.04,816.08
2018-01-16 04:50:00,1,853.96,812.67,-181.4,-181.75,-145.96,810.57
2018-01-16 05:05:00,1,856.82,816.75,-180.65,-176.38,-144.62,808.35
2018-01-16 05:10:00,1,856.6,818.8,-179.45,-179.98,-143.84,808.69
2018-01-16 05:20:00,1,854.52,814.75,-179.03,-184.1,-141.4,808.44
2018-01-16 05:25:00,1,860.82,818.87,-176.42,-179.65,-138.41,812.49
2018-01-16 05:30:00,1,854.42,817.8,-175.32,-181.54,-138.95,811.8
2018-01-16 05:35:00,1,847.32,814.47,-178.48,-179.24,-140.45,810.43
2018-01-16 05:40:00,1,853.64,815.02,-178.27,-182.31,-140.33,810.16
2018-01-27 10:45:00,1,839.69,818.68,-258.65,-253.28,-173.46,840.05
2018-02-07 16:25:00,1,844.8,830.61,-270.27,-236.06,-207.0,852.76
2018-02-07 16:30:00,1,841.72,826.08,-264.93,-237.9,-201.71,847.2
2018-02-15 20:30:00,1,804.61,780.59,-215.26,-198.56,-169.46,797.08
2018-02-20 19:05:00,1,841.58,844.95,-261.46,-274.82,-201.34,862.47
2018-02-20 19:20:00,1,840.95,847.46,-260.91,-274.31,-201.12,858.04
2018-02-22 12:40:00,1,822.88,804.62,-259.0,-264.04,-212.26,837.81
2018-02-22 12:45:00,1,814.78,791.24,-250.84,-253.27,-202.86,831.36
2018-02-22 12:50:00,1,813.54,791.22,-243.6,-254.29,-195.17,828.69
2018-02-26 07:20:00,1,798.48,781.2,-215.26,-198.56,-169.46,811.16
2018-02-26 07:25:00,1,791.16,779.36,-215.26,-198.56,-169.46,815.31
2018-03-07 23:20:00,1,806.69,767.07,-215.26,-198.56,-169.46,799.41
2018-03-07 23:25:00,1,795.69,761.82,-215.26,-198.56,-169.46,775.91
2018-03-08 16:30:00,1,939.53,734.53,-220.06,-238.36,-182.01,972.39
2018-03-08 16:55:00,1,935.05,688.2,-216.7,-240.4,-181.25,972.73
2018-03-08 17:10:00,1,939.22,697.15,-206.69,-228.87,-170.01,964.62
2018-03-09 02:50:00,1,905.43,674.36,-227.81,-251.32,-183.33,942.71
2018-03-09 02:55:00,1,919.22,673.91,-221.57,-236.36,-181.19,956.45
2018-03-09 03:15:00,1,925.31,711.94,-224.28,-246.61,-183.58,972.25
2018-03-09 03:25:00,1,917.43,680.77,-227.16,-239.27,-181.59,957.19
2018-03-09 04:25:00,1,918.74,719.6,-216.05,-236.66,-174.96,974.61
2018-03-09 04:40:00,1,945.57,739.25,-219.05,-240.87,-176.97,989.63
2018-03-09 04:50:00,1,914.23,707.72,-215.84,-236.53,-172.52,972.94
2018-03-09 05:05:00,1,927.02,722.82,-217.7,-232.36,-179.06,993.58
2018-03-09 07:30:00,1,914.81,796.91,-230.94,-250.89,-185.96,984.84
2018-03-10 06:10:00,1,908.82,787.83,-233.17,-252.32,-179.2,978.42
2018-03-10 06:15:00,1,934.67,792.04,-224.28,-240.41,-180.69,998.2
2018-03-10 07:50:00,1,940.25,789.94,-230.02,-235.96,-180.88,994.94
2018-03-10 09:55:00,1,864.77,708.25,-244.84,-251.05,-205.94,894.13
2018-03-10 15:25:00,1,882.38,767.1,-254.8,-265.96,-203.77,950.65
2018-03-10 15:30:00,1,835.65,699.23,-270.03,-293.07,-229.56,843.03
2018-03-10 15:35:00,1,837.22,691.68,-238.99,-247.77,-195.96,854.08
2018-03-11 10:05:00,1,942.3,767.55,-230.03,-230.27,-178.81,1016.45
2018-03-11 10:40:00,1,952.43,745.98,-237.16,-234.22,-187.81,1023.25
2018-03-11 11:45:00,1,949.35,767.39,-232.39,-227.92,-185.23,1012.68
2018-03-11 12:40:00,1,948.54,757.01,-252.12,-248.02,-202.95,913.36
2018-03-11 12:45:00,1,875.37,731.03,-264.71,-257.67,-210.87,913.36
2018-03-11 12:55:00,1,889.76,721.57,-272.11,-260.08,-217.55,824.33
2018-03-11 13:10:00,1,854.51,690.27,-265.59,-271.47,-216.23,913.36
2018-03-11 13:15:00,1,911.21,709.61,-259.42,-259.13,-209.13,913.36
2018-03-11 17:25:00,1,934.48,779.88,-222.46,-190.76,-176.36,1008.68
2018-03-11 20:10:00,1,922.87,775.55,-225.37,-175.71,-170.93,1014.73
2018-03-11 21:50:00,1,925.28,759.29,-226.1,-181.46,-178.5,1009.08
2018-03-11 22:10:00,1,935.79,755.58,-235.37,-210.43,-186.15,1011.66
2018-03-11 23:15:00,1,933.83,737.61,-240.86,-217.46,-188.13,982.18
2018-03-12 00:05:00,1,962.46,746.13,-226.56,-201.41,-178.97,993.92
2018-03-12 00:30:00,1,952.68,750.17,-223.99,-205.92,-176.13,1008.47
2018-03-12 01:30:00,1,950.17,735.11,-236.56,-223.19,-187.15,997.38
2018-03-12 01:45:00,1,933.75,728.64,-233.88,-223.76,-182.07,986.96
2018-03-12 03:05:00,1,927.76,729.25,-232.95,-223.44,-181.69,984.09
2018-03-12 03:25:00,1,939.15,729.35,-232.89,-224.29,-182.83,1002.58
2018-03-12 03:55:00,1,944.1,719.41,-244.05,-231.22,-190.74,989.16
2018-03-12 04:10:00,1,948.43,728.58,-226.53,-220.86,-177.44,999.08
2018-03-12 04:25:00,1,934.62,727.9,-224.74,-220.21,-173.34,1003.52
2018-03-12 05:15:00,1,922.66,711.35,-230.89,-232.82,-178.35,998.26
2018-03-12 05:40:00,1,939.28,709.98,-234.33,-225.31,-182.72,991.75
2018-03-12 05:50:00,1,901.8,701.15,-250.43,-241.32,-195.87,957.92
2018-03-12 05:55:00,1,943.89,720.26,-224.74,-222.8,-176.24,997.87
2018-03-12 06:10:00,1,929.77,713.0,-226.68,-220.04,-178.0,984.68
2018-03-12 06:35:00,1,934.85,709.38,-233.56,-225.71,-179.77,986.22
2018-03-12 07:20:00,1,920.92,702.13,-229.4,-222.37,-176.46,990.69
2018-03-12 07:45:00,1,940.73,705.43,-235.3,-223.45,-184.15,977.81
2018-03-12 10:45:00,1,923.33,715.95,-225.12,-226.85,-177.49,989.6
2018-03-12 10:55:00,1,936.49,716.08,-231.8,-227.25,-179.12,993.13
2018-03-12 11:05:00,1,911.63,706.74,-249.28,-243.61,-191.04,971.92
2018-03-12 11:15:00,1,882.38,728.92,-254.62,-250.86,-202.71,1028.4
2018-03-12 11:20:00,1,879.3,707.45,-261.17,-259.33,-214.12,987.47
2018-03-12 11:30:00,1,886.78,666.9,-255.77,-250.33,-202.49,921.07
2018-03-12 11:35:00,1,925.08,683.93,-265.08,-261.44,-213.45,953.25
2018-03-12 11:55:00,1,863.74,664.5,-253.61,-254.38,-204.2,922.42
2018-03-12 12:35:00,1,931.94,683.94,-248.48,-245.3,-193.34,952.76
2018-03-12 13:05:00,1,923.86,711.51,-225.62,-228.72,-179.41,980.21
2018-03-12 14:35:00,1,961.29,721.12,-233.14,-240.89,-181.81,997.05
2018-03-12 14:40:00,1,882.38,714.0,-286.21,-280.76,-230.84,909.65
2018-03-12 14:45:00,1,847.7,683.43,-258.33,-253.29,-213.11,913.24
2018-03-12 16:10:00,1,931.88,719.47,-236.61,-238.43,-192.05,976.14
2018-03-12 16:40:00,1,938.0,718.84,-236.66,-235.36,-188.05,991.49
2018-03-12 16:55:00,1,951.64,718.97,-246.86,-242.33,-199.62,991.31
2018-03-12 17:20:00,1,899.45,712.25,-251.04,-252.45,-203.96,982.58
2018-03-12 17:30:00,1,882.38,706.78,-253.17,-249.22,-203.56,990.24
2018-03-12 17:40:00,1,829.41,667.98,-238.61,-233.96,-198.75,886.98
2018-03-12 18:00:00,1,904.17,742.48,-180.9,-185.22,-140.64,940.88
2018-03-12 18:30:00,1,952.94,796.57,-178.87,-178.18,-142.37,976.29
2018-03-12 18:35:00,1,909.42,795.89,-173.17,-174.96,-137.84,976.86
2018-03-12 18:45:00,1,919.43,791.41,-187.39,-188.3,-146.52,994.82
2018-03-12 21:30:00,1,923.85,706.73,-240.32,-241.31,-178.65,958.87
2018-03-12 21:40:00,1,906.12,709.59,-254.1,-241.97,-187.25,955.69
2018-03-12 22:25:00,1,950.45,714.63,-239.27,-229.24,-179.61,997.16
2018-03-12 22:30:00,1,946.56,726.6,-238.55,-231.43,-175.7,1010.68
2018-03-12 22:45:00,1,938.02,730.12,-237.2,-237.28,-174.84,995.73
2018-03-12 22:50:00,1,943.09,730.54,-236.06,-232.48,-175.97,998.92
2018-03-12 22:55:00,1,932.92,734.61,-232.62,-226.07,-171.72,999.05
2018-03-12 23:05:00,1,942.27,720.43,-243.4,-237.61,-182.09,967.04
2018-03-12 23:15:00,1,953.34,730.45,-230.8,-222.9,-175.56,996.44
2018-03-13 01:15:00,1,922.39,727.98,-207.44,-207.62,-161.03,1004.26
2018-03-13 02:20:00,1,922.17,729.26,-201.77,-197.11,-150.26,997.16
2018-03-13 05:40:00,1,927.8,730.49,-177.83,-173.62,-135.98,969.07
2018-03-13 06:20:00,1,906.69,727.91,-186.62,-183.82,-138.16,948.59
2018-03-13 06:30:00,1,907.79,718.29,-186.45,-187.02,-138.27,967.16
2018-03-13 06:50:00,1,957.66,701.05,-227.01,-223.33,-176.25,980.93
2018-03-13 07:40:00,1,941.92,694.56,-234.36,-235.85,-182.26,973.76
