,true,persist_pred,arima_pred
2019-11-18 14:40:00,867.45,867.45,887.7955728835121
2019-11-18 14:45:00,852.08,867.45,889.4622119490148
2019-11-18 14:50:00,887.47,852.08,891.3566241233993
2019-11-18 14:55:00,882.89,887.47,893.4421192520158
2019-11-18 15:00:00,872.08,882.89,891.9715358975367
2019-11-18 15:05:00,871.2,872.08,891.5581956740192
2019-11-18 15:10:00,898.94,871.2,891.2380187372962
2019-11-18 15:15:00,858.07,898.94,891.5476629271775
2019-11-18 15:20:00,887.19,858.07,891.7110980761958
2019-11-18 15:25:00,885.16,887.19,891.8111827874079
2019-11-18 15:30:00,895.1,885.16,891.6612805748382
2019-11-18 15:35:00,886.67,895.1,891.6296396877133
2019-11-18 15:40:00,876.69,886.67,891.6207180560863
2019-11-18 15:45:00,893.96,876.69,891.6573745088598
2019-11-18 15:50:00,865.24,893.96,891.6675826977811
2019-11-18 15:55:00,880.87,865.24,891.6690279267443
2019-11-18 16:00:00,871.37,880.87,891.6551258058096
2019-11-18 16:05:00,851.34,871.37,891.6538451953969
2019-11-18 16:10:00,911.48,851.34,891.6548274395192
2019-11-18 16:15:00,912.58,911.48,891.6583378562765
2019-11-18 16:20:00,885.36,912.58,891.658595874808
2019-11-18 16:25:00,879.83,885.36,891.6581589005909
2019-11-18 16:30:00,858.49,879.83,891.6570072155055
2019-11-18 16:35:00,871.42,858.49,891.657095339669
2019-11-18 16:40:00,876.77,871.42,891.657310925648
2019-11-18 16:45:00,880.2,876.77,891.6575942134599
2019-11-18 16:50:00,847.44,880.2,891.6575469995704
2019-11-18 16:55:00,915.54,847.44,891.6574735832138
2019-11-18 17:00:00,874.11,915.54,891.657391028362
2019-11-18 17:05:00,843.48,874.11,891.6574189119661
2019-11-18 17:10:00,841.43,843.48,891.657444596741
2019-11-18 17:15:00,863.93,841.43,891.6574632667214
2019-11-18 17:20:00,884.77,863.93,891.6574529211546
2019-11-18 17:25:00,855.21,884.77,891.6574451508169
2019-11-18 17:30:00,855.16,855.21,891.6574404586962
2019-11-18 17:35:00,914.94,855.16,891.6574445405492
2019-11-18 17:40:00,914.97,914.94,891.6574468585914
2019-11-18 17:45:00,852.91,914.97,891.6574476983559
2019-11-18 17:50:00,849.76,852.91,891.6574463445774
2019-11-18 17:55:00,863.01,849.76,891.6574457180733
2019-11-18 18:00:00,891.03,863.01,891.6574455789366
2019-11-18 18:05:00,862.27,891.03,891.6574460390643
2019-11-18 18:10:00,861.1,862.27,891.6574461993516
2019-11-18 18:15:00,856.04,861.1,891.6574461931327
2019-11-18 18:20:00,868.99,856.04,891.6574460516941
2019-11-18 18:25:00,918.58,868.99,891.6574460156762
2019-11-18 18:30:00,850.04,918.58,891.6574460277564
2019-11-18 18:35:00,838.61,850.04,891.6574460714434
2019-11-18 18:40:00,853.47,838.61,891.6574460780657
2019-11-18 18:45:00,891.27,853.47,891.6574460709231
2019-11-18 18:50:00,877.81,891.27,891.6574460584127
2019-11-18 18:55:00,903.95,877.81,891.6574460578432
2019-11-18 19:00:00,868.52,903.95,891.6574460606997
2019-11-18 19:05:00,869.31,868.52,891.657446064244
2019-11-18 19:10:00,907.57,869.31,891.6574460639681
