start,end,duration_min
2017-12-25 14:05:00,2017-12-25 14:10:00,5.0
2018-02-01 03:25:00,2018-02-01 03:30:00,5.0
2018-02-01 07:15:00,2018-02-01 07:20:00,5.0
2018-02-22 12:35:00,2018-02-22 12:40:00,5.0
2018-02-23 00:25:00,2018-02-23 00:30:00,5.0
2018-03-10 15:30:00,2018-03-10 15:35:00,5.0
2018-03-11 13:05:00,2018-03-11 13:10:00,5.0
2018-06-11 09:10:00,2018-06-11 09:15:00,5.0
2018-06-15 14:25:00,2018-06-15 14:30:00,5.0
2018-06-18 18:10:00,2018-06-18 18:15:00,5.0
2018-06-25 18:10:00,2018-06-25 18:15:00,5.0
2018-08-05 05:50:00,2018-08-05 05:55:00,5.0
2018-08-05 09:35:00,2018-08-05 09:45:00,10.0
2018-08-14 12:10:00,2018-08-14 12:15:00,5.0
2018-08-15 22:05:00,2018-08-15 22:10:00,5.0
2018-08-16 04:00:00,2018-08-16 04:10:00,10.0
2018-08-16 04:15:00,2018-08-16 05:10:00,55.0
2018-08-16 05:45:00,2018-08-16 06:00:00,15.0
2018-08-16 06:35:00,2018-08-16 06:50:00,15.0
2018-08-17 02:55:00,2018-08-17 03:00:00,5.0
2018-08-17 03:10:00,2018-08-17 03:20:00,10.0
2018-08-17 05:00:00,2018-08-17 05:10:00,10.0
2018-08-21 14:10:00,2018-08-21 14:15:00,5.0
2018-08-23 13:35:00,2018-08-23 13:40:00,5.0
2018-08-28 22:05:00,2018-08-28 22:15:00,10.0
2018-09-03 07:20:00,2018-09-03 07:25:00,5.0
2018-09-04 10:05:00,2018-09-04 10:10:00,5.0
2018-09-06 23:50:00,2018-09-06 23:55:00,5.0
2018-10-28 20:45:00,2018-10-28 20:50:00,5.0
2018-11-08 20:05:00,2018-11-08 20:10:00,5.0
2018-11-08 22:05:00,2018-11-08 22:10:00,5.0
2018-11-08 22:25:00,2018-11-08 22:30:00,5.0
2019-03-22 07:20:00,2019-03-22 07:25:00,5.0
2019-03-31 11:30:00,2019-03-31 11:35:00,5.0
2019-04-01 16:10:00,2019-04-01 16:20:00,10.0
2019-05-22 02:45:00,2019-05-22 02:50:00,5.0
2019-08-31 05:10:00,2019-08-31 05:15:00,5.0
2019-08-31 05:20:00,2019-08-31 05:25:00,5.0
2019-11-06 03:10:00,2019-11-06 03:15:00,5.0
2019-11-06 07:20:00,2019-11-06 07:50:00,30.0
2019-11-06 09:20:00,2019-11-06 09:50:00,30.0
2019-11-06 10:00:00,2019-11-06 10:55:00,55.0
2019-11-08 14:25:00,2019-11-08 14:30:00,5.0
2019-11-17 15:30:00,2019-11-17 15:35:00,5.0
2019-11-19 16:45:00,2019-11-19 16:50:00,5.0
2019-11-19 20:30:00,2019-11-19 20:35:00,5.0
2019-11-19 22:35:00,2019-11-19 22:40:00,5.0
2020-01-18 10:40:00,2020-01-18 10:45:00,5.0
2020-02-18 02:15:00,2020-02-18 02:20:00,5.0
2020-03-22 16:25:00,2020-03-22 16:45:00,20.0
2020-03-22 16:55:00,2020-03-22 17:05:00,10.0
2020-07-21 16:50:00,2020-07-21 17:25:00,35.0
2020-07-21 17:35:00,2020-07-21 17:40:00,5.0
2020-07-21 17:55:00,2020-07-21 18:05:00,10.0
