start,end,duration_min
2017-03-02 19:15:00,2017-03-02 19:20:00,5.0
2017-11-19 15:00:00,2017-11-19 15:05:00,5.0
2017-12-25 14:05:00,2017-12-25 14:10:00,5.0
2017-12-27 16:00:00,2017-12-27 16:05:00,5.0
2018-01-21 06:05:00,2018-01-21 06:10:00,5.0
2018-02-01 00:40:00,2018-02-01 00:45:00,5.0
2018-02-01 01:10:00,2018-02-01 01:15:00,5.0
2018-02-01 01:20:00,2018-02-01 01:25:00,5.0
2018-02-01 01:30:00,2018-02-01 01:40:00,10.0
2018-02-01 02:45:00,2018-02-01 02:50:00,5.0
2018-02-01 03:25:00,2018-02-01 03:30:00,5.0
2018-02-01 06:50:00,2018-02-01 06:55:00,5.0
2018-02-01 07:15:00,2018-02-01 07:20:00,5.0
2018-02-01 08:05:00,2018-02-01 08:10:00,5.0
2018-02-01 08:15:00,2018-02-01 08:20:00,5.0
2018-02-01 08:40:00,2018-02-01 08:45:00,5.0
2018-02-21 05:55:00,2018-02-21 06:00:00,5.0
2018-02-21 06:15:00,2018-02-21 06:20:00,5.0
2018-02-22 00:55:00,2018-02-22 01:00:00,5.0
2018-02-22 12:30:00,2018-02-22 12:45:00,15.0
2018-02-23 00:25:00,2018-02-23 00:30:00,5.0
2018-02-28 20:25:00,2018-02-28 20:30:00,5.0
2018-03-01 13:15:00,2018-03-01 13:25:00,10.0
2018-03-10 15:30:00,2018-03-10 15:35:00,5.0
2018-03-11 13:00:00,2018-03-11 13:10:00,10.0
2018-03-12 14:40:00,2018-03-12 14:45:00,5.0
2018-03-12 17:35:00,2018-03-12 17:40:00,5.0
2018-04-16 14:35:00,2018-04-16 14:45:00,10.0
2018-04-16 17:20:00,2018-04-16 17:25:00,5.0
2018-04-17 03:30:00,2018-04-17 03:35:00,5.0
2018-04-24 04:15:00,2018-04-24 04:25:00,10.0
2018-04-24 04:40:00,2018-04-24 04:45:00,5.0
2018-04-24 13:00:00,2018-04-24 13:10:00,10.0
2018-04-24 19:45:00,2018-04-24 19:55:00,10.0
2018-04-25 17:20:00,2018-04-25 17:35:00,15.0
2018-04-25 17:45:00,2018-04-25 17:55:00,10.0
2018-05-10 20:05:00,2018-05-10 20:10:00,5.0
2018-05-10 21:10:00,2018-05-10 21:15:00,5.0
2018-05-10 21:45:00,2018-05-10 22:00:00,15.0
2018-05-10 22:35:00,2018-05-10 23:10:00,35.0
2018-05-11 23:25:00,2018-05-11 23:35:00,10.0
2018-05-11 23:55:00,2018-05-12 00:00:00,5.0
2018-05-14 11:05:00,2018-05-14 11:10:00,5.0
2018-05-14 19:50:00,2018-05-14 19:55:00,5.0
2018-05-14 22:20:00,2018-05-14 22:35:00,15.0
2018-05-15 06:00:00,2018-05-15 06:05:00,5.0
2018-05-17 23:05:00,2018-05-17 23:10:00,5.0
2018-05-18 08:05:00,2018-05-18 08:10:00,5.0
2018-05-18 08:20:00,2018-05-18 08:25:00,5.0
2018-05-18 09:00:00,2018-05-18 09:05:00,5.0
2018-05-18 13:10:00,2018-05-18 13:15:00,5.0
2018-05-18 13:20:00,2018-05-18 13:55:00,35.0
2018-05-18 15:45:00,2018-05-18 15:50:00,5.0
2018-05-18 15:55:00,2018-05-18 16:00:00,5.0
2018-05-18 16:05:00,2018-05-18 16:10:00,5.0
2018-05-18 16:15:00,2018-05-18 16:25:00,10.0
2018-05-18 18:20:00,2018-05-18 18:25:00,5.0
2018-05-20 03:15:00,2018-05-20 03:20:00,5.0
2018-05-20 20:10:00,2018-05-20 20:15:00,5.0
2018-05-20 20:20:00,2018-05-20 20:30:00,10.0
2018-05-20 20:35:00,2018-05-20 20:40:00,5.0
2018-05-20 20:50:00,2018-05-20 21:10:00,20.0
2018-05-24 15:05:00,2018-05-24 15:10:00,5.0
2018-05-24 16:50:00,2018-05-24 16:55:00,5.0
2018-05-24 20:15:00,2018-05-24 20:20:00,5.0
2018-05-25 14:50:00,2018-05-25 14:55:00,5.0
2018-05-27 19:45:00,2018-05-27 19:50:00,5.0
2018-05-28 04:00:00,2018-05-28 04:05:00,5.0
2018-05-28 04:15:00,2018-05-28 04:20:00,5.0
2018-05-28 04:35:00,2018-05-28 04:40:00,5.0
2018-05-28 06:10:00,2018-05-28 06:15:00,5.0
2018-05-28 06:20:00,2018-05-28 06:30:00,10.0
2018-05-28 09:35:00,2018-05-28 09:45:00,10.0
2018-05-28 09:55:00,2018-05-28 10:00:00,5.0
2018-05-31 00:55:00,2018-05-31 01:00:00,5.0
2018-05-31 03:25:00,2018-05-31 03:30:00,5.0
2018-05-31 14:05:00,2018-05-31 14:10:00,5.0
2018-05-31 14:30:00,2018-05-31 14:40:00,10.0
2018-05-31 14:45:00,2018-05-31 15:30:00,45.0
2018-06-02 10:10:00,2018-06-02 10:15:00,5.0
2018-06-03 17:25:00,2018-06-03 17:45:00,20.0
2018-06-04 12:20:00,2018-06-04 12:25:00,5.0
2018-06-04 12:40:00,2018-06-04 13:10:00,30.0
2018-06-04 13:15:00,2018-06-04 13:30:00,15.0
2018-06-04 14:05:00,2018-06-04 14:10:00,5.0
2018-06-04 14:15:00,2018-06-04 14:20:00,5.0
2018-06-04 16:35:00,2018-06-04 16:45:00,10.0
2018-06-04 17:00:00,2018-06-04 17:05:00,5.0
2018-06-04 17:10:00,2018-06-04 17:15:00,5.0
2018-06-04 18:05:00,2018-06-04 18:10:00,5.0
2018-06-04 18:15:00,2018-06-04 18:25:00,10.0
2018-06-04 18:40:00,2018-06-04 19:00:00,20.0
2018-06-04 19:25:00,2018-06-04 19:35:00,10.0
2018-06-04 19:40:00,2018-06-04 19:50:00,10.0
2018-06-04 19:55:00,2018-06-04 20:15:00,20.0
2018-06-04 20:25:00,2018-06-04 20:35:00,10.0
2018-06-04 20:45:00,2018-06-04 21:00:00,15.0
2018-06-04 21:40:00,2018-06-04 21:55:00,15.0
2018-06-04 23:05:00,2018-06-04 23:10:00,5.0
2018-06-04 23:40:00,2018-06-04 23:45:00,5.0
2018-06-04 23:55:00,2018-06-05 00:00:00,5.0
